epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6949700713157654,1.0367298126220703,0.001,0.9389235377311707,0.18793515861034393
1,0.8907522559165955,0.344505250453949,0.001,0.9386968612670898,0.18904317915439606
2,0.9195593595504761,0.2559705376625061,0.001,0.9672521352767944,0.10780150443315506
3,0.9330563545227051,0.21306295692920685,0.001,0.9683852791786194,0.11150684207677841
4,0.9423606991767883,0.1845180094242096,0.001,0.9755240678787231,0.08296168595552444
5,0.9469184875488281,0.16743196547031403,0.001,0.9681586623191833,0.10616915673017502
6,0.9518287777900696,0.15190251171588898,0.001,0.9694051146507263,0.1086886078119278
7,0.9563487768173218,0.13969868421554565,0.001,0.9614731073379517,0.12743285298347473
8,0.9591312408447266,0.1302790343761444,0.001,0.9803966283798218,0.07074557989835739
9,0.9618759751319885,0.12134256213903427,0.001,0.977223813533783,0.07926826924085617
10,0.9632987380027771,0.11769520491361618,0.001,0.9618130326271057,0.13213998079299927
11,0.9650362133979797,0.1129545345902443,0.001,0.9610198140144348,0.14228099584579468
12,0.9669625163078308,0.1069946214556694,0.001,0.9779036641120911,0.0782630443572998
13,0.9683727025985718,0.10442811250686646,0.001,0.9721246361732483,0.09071923047304153
14,0.96964430809021,0.10188180208206177,0.001,0.9803966283798218,0.07080153375864029
15,0.9705130457878113,0.09692505747079849,0.001,0.9819830060005188,0.06863849610090256
16,0.9714950919151306,0.09201949089765549,0.001,0.9692918062210083,0.11419958621263504
17,0.9720365405082703,0.09063553810119629,0.001,0.9590935111045837,0.16704562306404114
18,0.9717217683792114,0.09101347625255585,0.001,0.974844217300415,0.0875244215130806
19,0.9734214544296265,0.08458270877599716,0.001,0.9725779294967651,0.10068800300359726
20,0.9738495349884033,0.0835893452167511,0.001,0.9799433350563049,0.06996946781873703
21,0.9744665026664734,0.08328089118003845,0.001,0.9784702658653259,0.08033688366413116
22,0.9751085638999939,0.08099732547998428,0.001,0.9856090545654297,0.05309193208813667
23,0.9764935374259949,0.0769638866186142,0.001,0.9827762246131897,0.0663038045167923
