epoch,accuracy,loss,lr,val_accuracy,val_loss
24,0.9767705202102661,0.07670117169618607,0.001,0.9771105051040649,0.08816543966531754
25,0.9766068458557129,0.07602448016405106,0.001,0.9709914922714233,0.11000627279281616
26,0.9766320586204529,0.07392686605453491,0.001,0.9793767929077148,0.08191817998886108
27,0.9777274131774902,0.07279881089925766,0.001,0.9745042324066162,0.09547534584999084
28,0.9787346720695496,0.06886648386716843,0.001,0.9810764789581299,0.06907224655151367
29,0.978558361530304,0.06971488893032074,0.001,0.955240786075592,0.18586771190166473
30,0.9831790924072266,0.05377710983157158,0.000100000005,0.9816430807113647,0.06798432022333145
31,0.9845766425132751,0.05048474669456482,0.000100000005,0.9830028414726257,0.06706546992063522
0,0.6987910866737366,1.003661870956421,0.001,0.9369999766349792,0.20354606211185455
1,0.8999608755111694,0.31786048412323,0.001,0.9602857232093811,0.12850354611873627
2,0.9279522895812988,0.23078958690166473,0.001,0.9678571224212646,0.1102941632270813
3,0.9430559277534485,0.18628261983394623,0.001,0.9779999852180481,0.07114128768444061
4,0.9497849345207214,0.1610582172870636,0.001,0.9782857298851013,0.0753706842660904
5,0.9563021659851074,0.13936170935630798,0.001,0.9787142872810364,0.07330670952796936
6,0.9602776169776917,0.12692932784557343,0.001,0.9837142825126648,0.05701269581913948
7,0.9647582173347473,0.11482354253530502,0.001,0.9848571419715881,0.0518755242228508
8,0.9667296409606934,0.10999252647161484,0.001,0.9844285845756531,0.05074724182486534
9,0.9684078693389893,0.10542318969964981,0.001,0.9868571162223816,0.05508403107523918
10,0.9708517789840698,0.09594926983118057,0.001,0.9838571548461914,0.0546363964676857
11,0.9723670482635498,0.09109143167734146,0.001,0.9827142953872681,0.06325607001781464
12,0.97428959608078,0.08379664272069931,0.001,0.9885714054107666,0.045717380940914154
13,0.974859893321991,0.0852028951048851,0.001,0.9871428608894348,0.04555545374751091
14,0.9760981202125549,0.07922802865505219,0.001,0.9892857074737549,0.040109213441610336
15,0.9783139824867249,0.07256847620010376,0.001,0.9864285588264465,0.04656020551919937
16,0.9791449308395386,0.06912702322006226,0.001,0.9877142906188965,0.04605827480554581
17,0.9782814383506775,0.07120363414287567,0.001,0.9888571500778198,0.03992065042257309
18,0.9804158210754395,0.0660792738199234,0.001,0.9885714054107666,0.03972354158759117
19,0.9800410866737366,0.064903624355793,0.001,0.984000027179718,0.06260401755571365
20,0.9814422726631165,0.060662589967250824,0.001,0.9881428480148315,0.04904892295598984
21,0.981621503829956,0.06234457716345787,0.001,0.9901428818702698,0.04596727713942528
22,0.9824687242507935,0.056434500962495804,0.001,0.9882857203483582,0.052730582654476166
23,0.9825176000595093,0.05737810954451561,0.001,0.9894285798072815,0.04319826513528824
24,0.9832833409309387,0.054845742881298065,0.001,0.9892857074737549,0.04277170076966286
25,0.9839025139808655,0.053955040872097015,0.001,0.9888571500778198,0.049154799431562424
26,0.9872914552688599,0.03940071538090706,0.000100000005,0.9907143115997314,0.03660443052649498
27,0.9894747138023376,0.033278148621320724,0.000100000005,0.9918571710586548,0.033927109092473984
28,0.9900286793708801,0.03262249380350113,0.000100000005,0.9918571710586548,0.033472053706645966
29,0.9904196858406067,0.02991427108645439,0.000100000005,0.9915714263916016,0.03394409641623497
30,0.9909899830818176,0.030244875699281693,0.000100000005,0.9912857413291931,0.03475409001111984
31,0.9905174374580383,0.02897470071911812,0.000100000005,0.991428554058075,0.03517436981201172
32,0.9909736514091492,0.029526447877287865,0.000100000005,0.9915714263916016,0.03392184153199196
33,0.9908758997917175,0.029641766101121902,0.000100000005,0.9924286007881165,0.03163522854447365
34,0.9907781481742859,0.0282059907913208,0.000100000005,0.9919999837875366,0.03389759734272957
35,0.9920327067375183,0.02649007923901081,0.000100000005,0.9921428561210632,0.03140769898891449
36,0.9920490384101868,0.025782518088817596,0.000100000005,0.9927142858505249,0.03213952109217644
37,0.9915602207183838,0.025407878682017326,0.000100000005,0.9928571581840515,0.03258582204580307
38,0.9922282099723816,0.026355786249041557,0.000100000005,0.9928571581840515,0.03239015117287636
39,0.9922282099723816,0.024169180542230606,0.000100000005,0.9918571710586548,0.03371647745370865
40,0.9926192760467529,0.02396664023399353,0.000100000005,0.9927142858505249,0.033855125308036804
41,0.9927496314048767,0.024067124351859093,0.000100000005,0.99314284324646,0.03288809582591057
42,0.9922608137130737,0.023159164935350418,0.000100000005,0.9922857284545898,0.032975465059280396
43,0.992863655090332,0.023302167654037476,1.0000001e-05,0.9925714135169983,0.03260292857885361
44,0.9930591583251953,0.022756418213248253,1.0000001e-05,0.9928571581840515,0.03231288865208626
